"test_id","run_id","file_name","file_size_mb","note","path"
"0","0","test_rampup.mat","41.126","rampup_reference","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\test_rampup.mat"
"1","1","Test_1_run_1.mat","7.522","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_1_run_1.mat"
"1","2","Test_1_run_2.mat","11.262","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_1_run_2.mat"
"2","1","Test_2_run_1.mat","8.545","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_1.mat"
"2","2","Test_2_run_2.mat","1.681","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_2.mat"
"2","3","Test_2_run_3.mat","37.511","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_3.mat"
"3","1","Test_3_run_1.mat","123.757","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_3_run_1.mat"
"4","1","Test_4_run_1.mat","117.009","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_4_run_1.mat"
"4","2","Test_4_run_2.mat","10.585","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_4_run_2.mat"
"5","1","Test_5_run_1.mat","125.243","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_5_run_1.mat"
"5","2","Test_5_run_2.mat","5.4","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_5_run_2.mat"
"6","1","Test_6_run_1.mat","126.291","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_6_run_1.mat"
"6","2","Test_6_run_2.mat","125.907","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_6_run_2.mat"
"7","1","Test_7_run_1.mat","143.114","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_7_run_1.mat"
"8","1","Test_8_run_1.mat","24.63","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_1.mat"
"8","2","Test_8_run_2.mat","23.46","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_2.mat"
"8","3","Test_8_run_3.mat","21.673","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_3.mat"
"8","4","Test_8_run_4.mat","20.552","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_4.mat"
"8","5","Test_8_run_5.mat","112.444","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_5.mat"
"8","6","Test_8_run_6.mat","151.059","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_6.mat"
"8","7","Test_8_run_7.mat","148.971","ok","D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_7.mat"
