test_id,run_id,file_name,path,file_size_mb,note,quality,has_measurement,has_pwm,has_transient,has_steady,pwm_count,transient_count,steady_count,t_start_epoch,t_end_epoch,time_monotonic_within_run,has_required_fields
0,0,test_rampup.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\test_rampup.mat,41.126,rampup_reference,exclude,0,0,0,0,0,0,0,NaN,NaN,0,0
1,1,Test_1_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_1_run_1.mat,7.522,ok,keep,1,1,1,1,136,916,1062,734186.739922465,734186.744882268,1,1
1,2,Test_1_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_1_run_2.mat,11.262,ok,keep,1,1,1,1,840,1455,2335,734187.425866296,734187.43684088,1,1
2,1,Test_2_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_1.mat,8.545,ok,keep,1,1,1,1,59,351,2981,734187.646426273,734187.660238958,1,1
2,2,Test_2_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_2.mat,1.681,ok,keep,1,1,1,1,25,151,1111,734187.666892778,734187.672031875,1,1
2,3,Test_2_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_2_run_3.mat,37.511,ok,keep,1,1,1,1,65,1286,3548,734187.684655648,734187.701105718,1,1
3,1,Test_3_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_3_run_1.mat,123.757,ok,keep,1,1,1,1,34,4419,4850,734187.731504305,734187.753968912,1,1
4,1,Test_4_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_4_run_1.mat,117.009,ok,keep,1,1,1,1,22,4390,5193,734188.404166238,734188.428218391,1,1
4,2,Test_4_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_4_run_2.mat,10.585,ok,keep,1,1,1,1,42,400,745,734191.543816019,734191.547271944,1,1
5,1,Test_5_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_5_run_1.mat,125.243,ok,keep,1,1,1,1,203,4413,5006,734191.557227697,734191.58045338,1,1
5,2,Test_5_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_5_run_2.mat,5.4,ok,keep,1,1,1,1,2,210,210,734191.693528206,734191.69449581,1,1
6,1,Test_6_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_6_run_1.mat,126.291,ok,keep,1,1,1,1,1500,4297,8713,734192.367293623,734192.408117558,1,1
6,2,Test_6_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_6_run_2.mat,125.907,ok,keep,1,1,1,1,80,20085,20510,734192.655448704,734192.75040566,1,1
7,1,Test_7_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_7_run_1.mat,143.114,ok,keep,1,1,1,1,2150,19844,22302,734193.400783391,734193.504519676,1,1
8,1,Test_8_run_1.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_1.mat,24.63,ok,keep,1,1,1,1,1179,3216,5191,734195.353029734,734195.377326493,1,1
8,2,Test_8_run_2.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_2.mat,23.46,ok,keep,1,1,1,1,1320,3058,5190,734195.411815417,734195.436110891,1,1
8,3,Test_8_run_3.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_3.mat,21.673,ok,keep,1,1,1,1,1278,2821,5191,734195.45273397,734195.477030671,1,1
8,4,Test_8_run_4.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_4.mat,20.552,ok,keep,1,1,1,1,1336,2670,5190,734195.503869676,734195.528168171,1,1
8,5,Test_8_run_5.mat,D:\NASA\MOSFET_Thermal_Overstress_Aging\data_raw\MOSFET_Thermal_Overstress_Aging_v0\Test_8_run_5.mat,112.444,ok,keep,1,1,1,1,6726,14800,26613,734195.599050556,734195.724043275,1,1
