file,corrected_file,dt_ns,id_offset_A,vgs_threshold_V,pwm_cycles,freq_kHz,duty_percent,id_corr_on_med_A,id_corr_on_iqr_A,vds_on_abs_med_V,rds_cycle_med_ohm,rds_cycle_iqr_ohm,rds_cycle_cv,valid_cycles,valid_cycle_ratio,scan_group
50% 0.5.CSV,50% 0.5_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.02,0.0,0.018,0.8999999999999991,0.3749999999999996,0.2586217339340068,154,0.9625,50% bus
50% 0.8.CSV,50% 0.8_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.02,0.0,0.034,1.6999999999999986,0.1999999999999997,0.1093996849897261,160,1.0,50% bus
50% 1.0.CSV,50% 1.0_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.04,0.0,0.05,1.499999999999999,0.1999999999999999,0.1144940588203586,160,1.0,50% bus
50% 1.5.CSV,50% 1.5_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.1,0.0,0.07,0.7249999999999999,0.0399999999999998,0.0385998505450708,160,1.0,50% bus
50% 2.0.CSV,50% 2.0_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.16,0.0,0.082,0.5375,0.025,0.0317050366377925,160,1.0,50% bus
50% 3.0.CSV,50% 3.0_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.3,0.0,0.11,0.3666666666666666,0.0133333333333333,0.0219274364307668,160,1.0,50% bus
50% 4.0.CSV,50% 4.0_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.4599999999999999,0.0,0.158,0.3434782608695652,0.008695652173913,0.0169926862999918,160,1.0,50% bus
50% 4.5.CSV,50% 4.5_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.54,0.0,0.182,0.337037037037037,0.0064814814814814,0.0168849321413615,160,1.0,50% bus
50% 5.0.CSV,50% 5.0_IdCorr.csv,80.0,-0.17,7.499999999999999,160,9.999999999999996,49.67999999999998,0.62,0.0,0.194,0.3193548387096774,0.0066666666666666,0.0158349246006876,160,1.0,50% bus
4V 20%.CSV,4V 20%_IdCorr.csv,80.0,-0.17,7.2,160,9.999999999999996,19.999999999999996,0.04,0.0,0.258,6.449999999999999,0.0,0.0,160,1.0,4 V duty
4V 30%.CSV,4V 30%_IdCorr.csv,80.0,-0.17,7.3,160,9.999999999999996,29.359999999999985,0.12,0.0,0.234,1.95,0.0333333333333334,0.0137830767615368,160,1.0,4 V duty
4V 40%.CSV,4V 40%_IdCorr.csv,80.0,-0.17,7.3,160,9.999999999999996,39.51999999999998,0.26,0.0,0.19,0.7230769230769231,0.0153846153846153,0.0160179755891053,160,1.0,4 V duty
4V 60%.CSV,4V 60%_IdCorr.csv,80.0,-0.19,7.499999999999999,160,9.999999999999996,59.83999999999998,0.74,0.0,0.114,0.154054054054054,0.0054054054054053,0.0223626198608261,160,1.0,4 V duty
4V 70%.CSV,4V 70%_IdCorr.csv,80.0,-0.19,7.499999999999999,160,9.999999999999996,69.99999999999997,1.16,0.02,0.046,0.0383333333333333,0.0013218390804597,0.0296296916629492,160,1.0,4 V duty
4V 80%.CSV,4V 80%_IdCorr.csv,80.0,-0.19,7.6,160,9.999999999999996,79.35999999999997,1.74,0.0,0.106,0.0602272727272727,0.0006922675026123,0.0176187385016514,160,1.0,4 V duty
