sample_index_start,sample_index_end,t_epoch_start,t_epoch_end,elapsed_hours,model,seed,test_id,window_id,split,time_hours,HI_true,HI_pred,damage_true,damage_pred,increment_true,increment_pred,rate_true,fpt_event_target,accel_state_target,warning_target,fpt_prob,accel_prob,warning_prob,gate,multiplier,extra_increment,calibrated_decision,calibrated_raw,calibrated_target
0,255,734192.367293623,734192.368477975,0.0,MultiplierEventPGRGRU_seed42,42,6,1,test,0.0,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2634285390377044,0.3946751952171325,0.0552250295877456,0.0533483996987342,1.0383167266845703,0.0,0,0,0
128,383,734192.367887893,734192.369073171,0.014284704811871,MultiplierEventPGRGRU_seed42,42,6,2,test,0.014284704811871,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2404940575361251,0.3686375319957733,0.0315668396651744,0.0456280894577503,1.0600069761276243,0.0,0,0,0
256,511,734192.36848419,734192.369669514,0.0285969357937574,MultiplierEventPGRGRU_seed42,42,6,3,test,0.0285969357937574,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2295398712158203,0.3518552482128143,0.0242476519197225,0.0411730073392391,1.07231342792511,0.0,0,0,0
384,639,734192.369077801,734192.370263206,0.0428455425426363,MultiplierEventPGRGRU_seed42,42,6,4,test,0.0428455434739589,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2213964760303497,0.3695714175701141,0.0197049584239721,0.0434257388114929,1.0745850801467896,0.0,0,0,0
512,767,734192.369673843,734192.370857928,0.0571188703179359,MultiplierEventPGRGRU_seed42,42,6,5,test,0.0571188703179359,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2116967290639877,0.3852885067462921,0.0156005406752228,0.0457848869264125,1.0797346830368042,0.0,0,0,0
640,895,734192.370267847,734192.371452743,0.0713944304734468,MultiplierEventPGRGRU_seed42,42,6,6,test,0.0713944286108017,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2099542766809463,0.3715248107910156,0.0137141458690166,0.042531844228506,1.0850701332092283,0.0,0,0,0
768,1023,734192.370862569,734192.372048241,0.0856863828375935,MultiplierEventPGRGRU_seed42,42,6,7,test,0.0856863856315612,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.20627161860466,0.3728266656398773,0.0123496502637863,0.0422526635229587,1.0881282091140747,0.0,0,0,0
896,1151,734192.371457361,734192.372642974,0.0999599760398268,MultiplierEventPGRGRU_seed42,42,6,8,test,0.0999599769711494,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2028291374444961,0.3737657368183136,0.0112937912344932,0.0420328192412853,1.0906907320022583,0.0,0,0,0
1024,1279,734192.372052882,734192.373241377,0.1143216462805867,MultiplierEventPGRGRU_seed42,42,6,9,test,0.1143216490745544,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2036727964878082,0.3756832778453827,0.0102094542235136,0.0417094342410564,1.0964196920394895,0.0,0,0,0
1152,1407,734192.372647616,734192.373840729,0.1287060957401991,MultiplierEventPGRGRU_seed42,42,6,10,test,0.1287060976028442,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2129740417003631,0.3820028901100158,0.0107183484360575,0.0418792814016342,1.100797414779663,0.0,0,0,0
1280,1535,734192.373246019,734192.374439699,0.1430813753977418,MultiplierEventPGRGRU_seed42,42,6,11,test,0.1430813819169998,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2279997020959854,0.3784776628017425,0.0143929654732346,0.0396522209048271,1.0998353958129885,0.0,0,0,0
1408,1663,734192.373845382,734192.375038032,0.1574413664638996,MultiplierEventPGRGRU_seed42,42,6,12,test,0.1574413627386093,0.8087837100028992,0.8306564092636108,0.191216304898262,0.1693436205387115,0.0,0.0,0.0,0.0,0.0,0.0,0.2298599481582641,0.3922426104545593,0.0152401756495237,0.043706264346838,1.0958726406097412,0.0,0,0,0
