model,test_id,hi_rmse
GRU,6,0.12760346460314645
GRU,13,0.2836104990064172
GRU,14,0.07747412410694159
GRU,20,0.5577833651841003
GRU,25,0.07438362329105785
GRU,34,0.048417686796641074
GRU,42,0.6633543652565423
LSTM,6,0.12923909058267782
LSTM,13,0.30571600885705363
LSTM,14,0.06155841724776593
LSTM,20,0.5038467153018216
LSTM,25,0.06845729037256941
LSTM,34,0.05563910170979568
LSTM,42,0.6436657681801405
GRU+,6,0.11129485013499021
GRU+,13,0.12545534130646646
GRU+,14,0.04450300415545545
GRU+,20,0.5013220249626598
GRU+,25,0.06396372617778447
GRU+,34,0.03637388800827021
GRU+,42,0.6199357192176187
LSTM+,6,0.14111918380074095
LSTM+,13,0.2713466060702668
LSTM+,14,0.07134535550151232
LSTM+,20,0.506380960622724
LSTM+,25,0.06988961955214541
LSTM+,34,0.06038117282411607
LSTM+,42,0.6570399474686065
PG-RGRU,6,0.06673105072522746
PG-RGRU,13,0.03113151699177745
PG-RGRU,14,0.03260582500077605
PG-RGRU,20,0.050192138878782246
PG-RGRU,25,0.030528870217140108
PG-RGRU,34,0.021631480082641857
PG-RGRU,42,0.10562361255548235
